Year,Month,Day,Data logger,Date,Toul
2010,5,4,Hobo,2010/5/4,8.330625
2010,5,5,Hobo,2010/5/5,6.533791667
2010,5,6,Hobo,2010/5/6,9.606541667
2010,5,7,Hobo,2010/5/7,12.06258333
2010,5,8,Hobo,2010/5/8,13.51495833
2010,5,9,Hobo,2010/5/9,15.35404167
2010,5,10,Hobo,2010/5/10,16.89179167
2010,5,11,Hobo,2010/5/11,13.19358333
2010,5,12,Hobo,2010/5/12,12.14525
2010,5,13,Hobo,2010/5/13,10.544375
2010,5,14,Hobo,2010/5/14,10.80558333
2010,5,15,Hobo,2010/5/15,11.75470833
2010,5,16,Hobo,2010/5/16,11.785
2010,5,17,Hobo,2010/5/17,13.3065
2010,5,18,Hobo,2010/5/18,13.87458333
2010,5,19,Hobo,2010/5/19,15.84308333
2010,5,20,Hobo,2010/5/20,16.44020833
2010,5,21,Hobo,2010/5/21,19.422125
2010,5,22,Hobo,2010/5/22,21.422
2010,5,23,Hobo,2010/5/23,21.682875
2010,5,24,Hobo,2010/5/24,22.25554167
2010,5,25,Hobo,2010/5/25,20.47775
2010,5,26,Hobo,2010/5/26,18.02520833
2010,5,27,Hobo,2010/5/27,16.602625
2010,5,28,Hobo,2010/5/28,15.047375
2010,5,29,Hobo,2010/5/29,15.37291667
2010,5,30,Hobo,2010/5/30,17.40670833
2010,5,31,Hobo,2010/5/31,18.264875
2010,6,1,Hobo,2010/6/1,17.79658333
2010,6,2,Hobo,2010/6/2,18.78841667
2010,6,3,Hobo,2010/6/3,19.0375
2010,6,4,Hobo,2010/6/4,21.080625
2010,6,5,Hobo,2010/6/5,22.13133333
2010,6,6,Hobo,2010/6/6,16.6
2010,6,7,Hobo,2010/6/7,18.12375
2010,6,8,Hobo,2010/6/8,16.658
2010,6,9,Hobo,2010/6/9,18.44291667
2010,6,10,Hobo,2010/6/10,21.54683333
2010,6,11,Hobo,2010/6/11,18.61329167
2010,6,12,Hobo,2010/6/12,19.440375
2010,6,13,Hobo,2010/6/13,18.76608333
2010,6,14,Hobo,2010/6/14,15.155125
2010,6,15,Hobo,2010/6/15,15.17033333
2010,6,16,Hobo,2010/6/16,14.55629167
2010,6,17,Hobo,2010/6/17,17.574875
2010,6,18,Hobo,2010/6/18,18.050875
2010,6,19,Hobo,2010/6/19,16.413
