Dispositif,Year,SiteName,Valley,Prove,BlockCG,ID,Mother,LU,LC,GS,Elevation
Toulenne,2014,Laveyron,Luz,L1,1_Toulenne,L1Q15-7 B2,L1fam15,101.1578947,281.5,180.3421053,100
Toulenne,2014,Laveyron,Luz,L1,1_Toulenne,L1Q15-8 B2,L1fam15,107.8125,NA,NA,100
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q37-1 B1,L8fam37,117.8333333,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q37-2 B1,L8fam37,114.5,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q37-3 B1,L8fam37,108.8135593,NA,NA,800
Toulenne,2014,Gabas,Ossau,O12,1_Toulenne,O12Q33-7 B2,O12fam33,106.1111111,294.75,188.6388889,1200
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q28-8 B3,L8fam28,119.2222222,278.4615385,159.2393162,800
Toulenne,2014,Ibos,Luz,L3,1_Toulenne,L3Q49-6 B2,L3fam49,107.5,296,188.5,300
Toulenne,2014,Ibos,Luz,L3,1_Toulenne,L3Q49-1 B3,L3fam49,105.625,292.4615385,186.8365385,300
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q14-6 B2,L8fam14,108.3333333,NA,NA,800
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q14-7 B2,L8fam14,113.3157895,302,188.6842105,800
Toulenne,2014,Papillon,Luz,L8,1_Toulenne,L8Q14-8 B2,L8fam14,114.0833333,292.4615385,178.3782051,800
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-2 B4,O12fam25,108.7931034,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-3 B4,O12fam25,101.8135593,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-5 B4,O12fam25,108.8135593,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-9 B4,O12fam25,105,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-11 B4,O12fam25,108.2051282,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q25-12 B4,O12fam25,108.1578947,NA,NA,1200
Toulenne,2014,Ibos,Luz,L3,4_Toulenne,L3Q3-5 B4,L3fam3,105.625,NA,NA,300
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q23-3 B3,O1fam23,101.2051282,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q23-6 B3,O1fam23,107.0833333,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q23-7 B3,O1fam23,101.7037037,280.7058824,179.0021786,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q23-8 B4,O1fam23,106.1111111,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q14-1 B3,O1fam14,101.0555556,327.3076923,226.2521368,100
Toulenne,2014,Josbaig,Ossau,O1,4_Toulenne,O1Q17-2 B3,O1fam17,106.3157895,302.3333333,196.0175439,100
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q6-1 B4,O16fam6,107.6666667,285.4615385,177.7948718,1600
